station_id,city,country,Datetime,Temperature,Humidity,WindSpeed,WeatherDescription
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 00:00:00,24.62,57,13.86,fog
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 00:00:00,6.95,55,8.9,light rain
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 01:00:00,12.84,98,2.63,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 01:00:00,13.78,70,1.54,cloudy
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 02:00:00,14.87,96,7.31,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 02:00:00,21.2,75,13.74,fog
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 03:00:00,17.33,58,6.13,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 03:00:00,14.07,69,10.1,cloudy
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 04:00:00,21.49,66,13.05,clear sky
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 04:00:00,13.42,94,6.88,overcast
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 05:00:00,11.34,52,2.86,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 05:00:00,14.52,61,13.15,clear sky
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 06:00:00,22.78,65,1.46,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 06:00:00,24.51,72,2.79,fog
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 07:00:00,14.37,54,12.29,light rain
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 07:00:00,9.8,77,3.23,clear sky
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 08:00:00,11.64,53,4.77,clear sky
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 08:00:00,20.94,98,1.28,fog
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 09:00:00,20.5,63,10.87,sunny
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 09:00:00,5.14,92,7.68,light rain
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 10:00:00,9.21,86,9.55,sunny
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 10:00:00,13.55,95,3.06,fog
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 11:00:00,24.52,81,13.85,fog
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 11:00:00,5.46,57,3.42,fog
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 12:00:00,6.73,76,9.42,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 12:00:00,19.33,63,6.14,sunny
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 13:00:00,5.71,82,8.0,light rain
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 13:00:00,5.5,86,2.07,light rain
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 14:00:00,22.68,100,11.27,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 14:00:00,13.46,76,1.35,overcast
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 15:00:00,10.66,96,10.39,light rain
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 15:00:00,8.11,64,10.11,cloudy
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 16:00:00,18.61,69,1.64,light rain
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 16:00:00,6.63,66,5.15,light rain
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 17:00:00,21.31,88,12.93,fog
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 17:00:00,20.29,71,12.0,cloudy
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 18:00:00,17.2,86,5.87,sunny
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 18:00:00,15.88,62,0.53,clear sky
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 19:00:00,23.47,54,12.93,sunny
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 19:00:00,12.84,51,6.8,light rain
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 20:00:00,12.09,63,6.24,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 20:00:00,23.82,56,1.15,clear sky
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 21:00:00,22.83,82,11.78,sunny
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 21:00:00,21.56,53,14.88,sunny
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 22:00:00,11.46,99,0.75,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 22:00:00,22.36,96,7.03,clear sky
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-01 23:00:00,11.18,89,10.77,light rain
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-01 23:00:00,11.05,60,5.67,cloudy
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 00:00:00,8.22,70,8.67,cloudy
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 00:00:00,24.59,60,14.26,cloudy
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 01:00:00,21.91,50,12.12,sunny
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 01:00:00,6.32,55,7.07,sunny
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 02:00:00,23.55,55,9.49,clear sky
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 02:00:00,23.14,67,0.93,clear sky
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 03:00:00,16.81,71,1.18,cloudy
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 03:00:00,22.58,57,10.25,fog
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 04:00:00,21.37,96,7.57,sunny
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 04:00:00,16.11,72,4.88,sunny
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 05:00:00,12.33,95,2.65,light rain
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 05:00:00,7.44,68,7.23,sunny
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 06:00:00,15.94,93,1.73,sunny
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 06:00:00,18.18,87,2.05,fog
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 07:00:00,15.76,83,2.85,fog
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 07:00:00,9.87,85,2.41,light rain
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 08:00:00,12.99,73,4.85,cloudy
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 08:00:00,6.76,52,4.96,overcast
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 09:00:00,6.9,53,2.98,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 09:00:00,9.31,72,5.62,cloudy
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 10:00:00,8.7,65,2.74,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 10:00:00,6.13,67,13.08,light rain
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 11:00:00,19.06,51,14.81,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 11:00:00,21.03,88,3.23,overcast
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 12:00:00,12.01,89,7.75,sunny
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 12:00:00,5.02,63,4.1,fog
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 13:00:00,7.73,54,2.22,cloudy
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 13:00:00,19.66,93,11.31,cloudy
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 14:00:00,6.38,71,6.3,cloudy
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 14:00:00,10.03,92,14.7,clear sky
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 15:00:00,12.36,58,8.59,light rain
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 15:00:00,12.04,71,0.82,sunny
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 16:00:00,10.17,84,10.95,clear sky
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 16:00:00,7.0,78,2.08,sunny
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 17:00:00,12.3,84,4.07,overcast
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 17:00:00,24.9,95,3.21,light rain
DUBLIN_53.33_-6.25,Dublin,Ireland,2025-01-02 18:00:00,5.37,84,10.67,sunny
GALWAY_53.27_-9.05,Galway,Ireland,2025-01-02 18:00:00,20.32,85,7.78,sunny
